,name,class
0,./data/images/d41d8cd98f00b204e9800998ecf8427e.npy,5
1,./data/images/93b885adfe0da089cdf634904fd59f71.npy,0
2,./data/images/693e9af84d3dfcc71e640e005bdc5e2e.npy,4
3,./data/images/7319468847d7b1aee40dbf5dd963c999.npy,1
4,./data/images/a63c90cc3684ad8b0a2176a6a8fe9005.npy,9
5,./data/images/3449c9e5e332f1dbb81505cd739fbf3f.npy,2
6,./data/images/2319ac34f4848755a639fd524038dfd3.npy,1
7,./data/images/1c9e99e48a495fe81d388fdb4900e59f.npy,3
8,./data/images/81684c2e68ade2cd4bf9f2e8a67dd4fe.npy,1
9,./data/images/7622214b8536afe7b89b1c6606069b0d.npy,4
10,./data/images/c9ea3314b91c9fd4e38f9432064fd1f2.npy,3
11,./data/images/402535c9f22ff836ea91dd12e8b8847b.npy,5
12,./data/images/b79abf5c5f2244956c7246e9112595ce.npy,3
13,./data/images/67130d31b6048171a64ed87d36022a6e.npy,6
14,./data/images/d1950d80f172e80f1c48685c51835807.npy,1
15,./data/images/222f7d881ded1871724a1b9a1cb94247.npy,7
16,./data/images/256abfbb6883823718eaf33f62510d6a.npy,2
17,./data/images/d13b5ffdeb538f15ee1d30f2788601d5.npy,8
18,./data/images/db6652f211d619f7a7f11b7f1fa267ae.npy,6
19,./data/images/c5b7a97bda04c48435a145f2d1f9bb42.npy,9
20,./data/images/78d9c664c638a1d59b95c322a29da3f9.npy,4
21,./data/images/b1aeaa449c48f1a53724de8f21c7baf7.npy,0
22,./data/images/5299ea434f8267c4f3b049f5f53fdcc8.npy,9
23,./data/images/eaed3e93aeb3c33f31c3b1e573974fdd.npy,1
24,./data/images/4aa09c46db228e7f610ad440cd89c103.npy,1
25,./data/images/5e9347a2570ab3609b013f4f65c4cf62.npy,2
26,./data/images/08d4c7e304644e9b4ed461e24db02d90.npy,4
27,./data/images/b259e6ea164c6e479eec45c80772e515.npy,3
28,./data/images/83e0cba63de0511e1f933e9a662afaaa.npy,2
29,./data/images/946141e7eb0db0444844abd10ffec804.npy,7
30,./data/images/a1534d6e98a6b21386456a8f66c55260.npy,3
31,./data/images/ab58d658c2dfe0393df78f57740dcdb8.npy,8
32,./data/images/9514014b584e9f64861edce0cc3440d7.npy,6
33,./data/images/601b95dc9f1512fc0c7d6388d2f37a37.npy,9
34,./data/images/6a1d1570d7662ed0e85ac8ee278b4178.npy,0
35,./data/images/67f022b63ce6ae0602b1c26761f4f7ee.npy,5
36,./data/images/9e1e5883c74742a497cf5c272ccd2321.npy,6
37,./data/images/39e7048d412b94bb2dad145a2daa5875.npy,0
38,./data/images/4d0b69927be3bc37da9b870cc65cb37f.npy,7
39,./data/images/43046e41072a4e97a0481d8d928b84d3.npy,6
40,./data/images/299c365bb82b69e7f4312ad662845bde.npy,1
